profile,actual_ddq_max_rad_s2,actual_ddq_p99_rad_s2,actual_dq_max_rad_s,actual_dq_p99_rad_s,actual_elbow_accel_p99_m_s2,actual_elbow_lateral_range_m,actual_elbow_speed_max_m_s,actual_j1_ddq_p99_rad_s2,actual_j1_dq_max_rad_s,actual_j2_ddq_p99_rad_s2,actual_j2_dq_max_rad_s,actual_j3_ddq_p99_rad_s2,actual_j3_dq_max_rad_s,actual_j4_ddq_p99_rad_s2,actual_j4_dq_max_rad_s,actual_j5_ddq_p99_rad_s2,actual_j5_dq_max_rad_s,actual_j6_ddq_p99_rad_s2,actual_j6_dq_max_rad_s,actual_j7_ddq_p99_rad_s2,actual_j7_dq_max_rad_s,actual_min_joint_margin_rad,actual_min_rho,actual_orientation_rmse_rad,actual_physical_velocity_exceed_fraction,actual_position_max_m,actual_position_p95_m,actual_position_rmse_m,braking_active_fraction,braking_binding_fraction,braking_j1_active_fraction,braking_j1_binding_fraction,braking_j2_active_fraction,braking_j2_binding_fraction,braking_j3_active_fraction,braking_j3_binding_fraction,braking_j4_active_fraction,braking_j4_binding_fraction,braking_j5_active_fraction,braking_j5_binding_fraction,braking_j6_active_fraction,braking_j6_binding_fraction,braking_j7_active_fraction,braking_j7_binding_fraction,command_above_driver_cap_fraction,command_ddq_max_rad_s2,command_ddq_p99_rad_s2,command_dq_max_rad_s,command_dq_p99_rad_s,command_driver_q_gap_max_rad,command_driver_q_gap_rms_rad,command_elbow_accel_p99_m_s2,command_elbow_lateral_range_m,command_elbow_speed_max_m_s,command_j1_dq_max_rad_s,command_j1_sat_fraction,command_j1_saturation_fraction,command_j2_dq_max_rad_s,command_j2_sat_fraction,command_j3_dq_max_rad_s,command_j3_sat_fraction,command_j4_ddq_p99_rad_s2,command_j4_dq_max_rad_s,command_j4_sat_fraction,command_j4_saturation_fraction,command_j5_dq_max_rad_s,command_j5_sat_fraction,command_j6_dq_max_rad_s,command_j6_sat_fraction,command_j7_dq_max_rad_s,command_j7_sat_fraction,command_min_joint_margin_rad,command_min_rho,command_orientation_rmse_rad,command_position_max_m,command_position_p95_m,command_position_rmse_m,command_velocity_saturation_fraction,driver_actual_q_gap_max_rad,driver_actual_q_gap_rms_rad,driver_ddq_max_rad_s2,driver_ddq_p99_rad_s2,driver_dq_max_rad_s,driver_dq_p99_rad_s,driver_elbow_accel_p99_m_s2,driver_elbow_lateral_range_m,driver_elbow_speed_max_m_s,driver_j1_dq_max_rad_s,driver_j1_limit_active_fraction,driver_j2_dq_max_rad_s,driver_j2_limit_active_fraction,driver_j3_dq_max_rad_s,driver_j3_limit_active_fraction,driver_j4_ddq_p99_rad_s2,driver_j4_dq_max_rad_s,driver_j4_limit_active_fraction,driver_j5_dq_max_rad_s,driver_j5_limit_active_fraction,driver_j6_dq_max_rad_s,driver_j6_limit_active_fraction,driver_j7_dq_max_rad_s,driver_j7_limit_active_fraction,driver_limit_active_fraction,driver_min_joint_margin_rad,driver_min_rho,driver_orientation_rmse_rad,driver_position_max_m,driver_position_p95_m,driver_position_rmse_m,driver_velocity_limit_enabled,driver_velocity_saturation_fraction,duration_s,frame_full_error_p95_m,frame_full_orientation_error_p95_rad,frame_limit_activation_mean,frame_used_error_p95_m,frame_used_orientation_error_p95_rad,ik_velocity_limit_enabled,nullspace_activation_mean,nullspace_error_abs_p95_rad,nullspace_return_speed_abs_p95_rad_s,q_gap_max_rad,q_gap_rms_rad,singularity_limit_active_fraction,solve_time_mean_ms,solve_time_p95_ms,solver_failures,speed,tail_actual_ddq_rms_rad_s2,tail_actual_ee_p2p_m,tail_actual_ee_vibration_rms_m,tail_command_ee_p2p_m,tail_command_ee_vibration_rms_m,tail_driver_ee_p2p_m,tail_driver_ee_vibration_rms_m,torque_saturation_fraction
brake_distance_0p08,57.644452025258545,35.521294713036305,3.7669582555542966,2.8950578608487194,7.6772650611268505,0.05649249273504597,0.45093018420029457,31.095305754168397,1.8119909036085062,15.387252016992099,1.0207654094001979,17.358611341908254,1.290124236025475,40.6529977174341,2.7116371202081955,7.106745719024015,0.7616987065944397,13.589578820896074,1.2161121277653675,23.197741098699804,1.7658834520309545,0.08642026095883674,0.07169519821436053,0.2926694714266948,0.06650121539720241,0.10077551591622357,0.09896745938124772,0.06371192117654315,0.191237827346075,0.15839199408995178,0.0,0.05340559715469315,0.09048755939323472,0.024879674244629127,0.0,0.006698821007502675,0.017416934619506958,0.02117624750190707,0.033508158508158505,0.0029137529137529083,0.08333333333333333,0.056818181818181816,0.07400932400932402,0.046620046620046623,0.04924415059574661,311.15970189906267,91.52457391034365,3.4844561790426574,2.7983992391576376,2.8976599305193435e-08,2.052548998091414e-09,13.393281214874419,0.054098760477214715,0.36321682854431203,1.322546973824501,0.05191145873897127,0.05191145873897127,0.9379135702450488,0.00292056074766355,1.0907575439584132,0.006296891747052517,49.111867168296975,2.2042629619439444,0.0097493268944121,0.0097493268944121,1.0011074161108506,0.0,1.6122805051660787,0.0,2.064390371714353,0.0,0.09163192307502256,0.07422024044680912,0.1845126459996237,0.08125658769303147,0.07971155327245225,0.05020157652430232,0.07087823812809943,0.15774280469356491,0.03818737813498016,311.15939394173614,91.52457391034365,3.484455556770167,2.798399031733474,13.393273290679941,0.054098760477214715,0.36321682305739017,1.3225462709863984,0.050417320323249394,0.9379132324853953,0.002336448598130833,1.0907567156525333,0.005894962486602358,49.111867168296975,2.204262339671454,0.009133599180143717,1.0011074161108506,0.0,1.6122805051660787,0.0,2.064390371714353,0.0,0.0677823305881263,0.09163192307502256,0.07422024043767504,0.18451264631291153,0.0812565901702748,0.07971155327245225,0.05020157707523975,1.0,0.07087823812809943,2.2376666666666667,0.07971511585299706,0.2306605340934862,0.09468354637707477,0.0577324839432248,0.007993618523111194,1.0,0.870864794063059,0.22124932418990398,0.3185253722457945,0.15774280805685628,0.03818737814750015,0.4674755749365503,1.2059398156862091,1.2864495874964632,0.0,2.1,2.072885226499561,0.009862665086984584,0.0021443359298065966,0.0002853668605287767,4.7052473348214455e-05,0.0002853668605287767,4.7052473348214455e-05,0.0
brake_distance_0p12,57.63355059847146,35.52845412342857,3.772018910237106,2.890308914139455,7.678870075269629,0.05580243864996578,0.45109775840685495,30.698642135617785,1.8019702578967507,15.54599261296139,1.029212487637976,17.26820288595722,1.287195042181905,40.717890558191165,2.727513467069794,7.005072901862271,0.7600687962621544,13.512031451641079,1.21267886115203,22.80463034850473,1.7639231540021785,0.09182545597206805,0.0720996949722658,0.29354788633193973,0.0670748920089413,0.10076998793054563,0.09896542885484748,0.06372490338097282,0.2293702569560986,0.17067211228147805,0.0,0.05311724652032176,0.12329849567954126,0.03259372743049941,0.0,0.006832797427652725,0.021570203644158615,0.022763566749636432,0.03787878787878787,0.0067016317016317,0.08333333333333333,0.0780885780885781,0.07605167418251531,0.06934731934731934,0.049491705641975435,301.3268078575493,91.27430668740999,3.4681294734279313,2.7963676784808436,2.8976599305193435e-08,2.0497057216967715e-09,12.86071438265472,0.05354856816886835,0.36079009151059854,1.3197092339396477,0.05162310810459988,0.05162310810459988,0.931509929614549,0.00292056074766355,1.0909112440155393,0.006430868167202567,48.62952123706498,2.2044082482655845,0.0097493268944121,0.0097493268944121,0.9876780850390787,0.0,1.5778420590019475,0.0,2.0590430109545346,0.0,0.09544495078971212,0.07457346721698456,0.18543802417016006,0.08163150397043717,0.07986616802962226,0.05025906056826296,0.0707238639138781,0.1574921456734916,0.038195054594132076,301.3265261324753,91.27430668740999,3.468128851155441,2.7963674710566804,12.8607122252539,0.05354856816886835,0.36079008604973506,1.319708531101545,0.05026294610902806,0.9315095918548955,0.002336448598130833,1.0909110365913757,0.006296891747052517,48.62952123706498,2.204407625993094,0.009133599180143717,0.9876780850390787,0.0,1.5778420590019475,0.0,2.0590430109545346,0.0,0.06802988563435512,0.09544495078971212,0.07457346721294981,0.18543802467831128,0.08163150587064318,0.0798661691125569,0.0502590609847532,1.0,0.0707238639138781,2.2376666666666667,0.07987107729687754,0.23180497438271352,0.09447424345169009,0.05794125384776947,0.00819672442027286,1.0,0.870866905400297,0.2254154690096566,0.3253153513432951,0.15749214903678296,0.03819505460829116,0.4674755749365503,1.2032625080938595,1.255319407209754,0.0,2.1,2.074803417914469,0.009858928620815225,0.00214324225547353,0.000300128012895573,4.9972389725581195e-05,0.000300128012895573,4.9972389725581195e-05,0.0
brake_distance_0p2,58.079402119428835,35.686991748915325,3.7686626928906133,2.8689563032998358,7.679082960087982,0.05417101419990347,0.4490793941514661,30.581772591439897,1.8036066997919942,15.928884478481562,1.0383079877904207,18.006045953203028,1.292672058237364,41.62563815802196,2.7545683013702984,6.94008031258156,0.7770292192318933,13.293550584960082,1.2125551163014314,22.457186999960346,1.7591841526843846,0.10489365567917042,0.07298680911294965,0.29519526333437845,0.0675709336064383,0.1007849587310491,0.09901632287908817,0.0637474823857168,0.6624711426835085,0.20767720558397176,0.0,0.052540545251578974,0.5259692044078226,0.06721516732546318,0.0052447552447552415,0.006698821007502675,0.03818327974276527,0.02651490651383794,0.04516317016317017,0.010198135198135191,0.08936227224008575,0.08275058275058275,0.08558808792453652,0.07517482517482517,0.04882484819822905,295.8372615466942,89.37150436395315,3.422396257519722,2.7958218147978187,2.9795169775859165e-08,2.0472822264534695e-09,15.353864192836758,0.052171336523266165,0.3598381022610231,1.3149728377660115,0.051046406835857074,0.051046406835857074,0.9307561113018892,0.00292056074766355,1.1295004915155005,0.0057609860664523,46.75403159732583,2.2288660208384194,0.010040702185787382,0.010040702185787382,0.9699624127582259,0.0,1.5520881958461057,0.0,2.061237876328429,0.0,0.10517302237997676,0.07521266175229978,0.18759653217362715,0.08278584758695244,0.08077107445428637,0.0504937713134484,0.06976865583576032,0.1566849932407547,0.03816391166301665,295.8372615466942,89.37150436395315,3.422395635247232,2.7958216073736555,15.353860346203753,0.052171336523266165,0.35983809685160395,1.314972134927909,0.04955226842013521,0.9307557735422356,0.002336448598130833,1.129500284091337,0.005493033226152192,46.75403159732583,2.228865191141763,0.009424974471519,0.9699624127582259,0.0,1.5520881958461057,0.0,2.061237876328429,0.0,0.06680672471593724,0.10517302237997676,0.07521266175221293,0.18759653244617636,0.08278584758695244,0.08077107541792024,0.05049377182861811,1.0,0.06976865583576032,2.2376666666666667,0.08077301528537342,0.23570746078745916,0.09426498635884373,0.05878420453991214,0.010251645839400497,1.0,0.8710241446942811,0.23944550234317097,0.3471796823237923,0.15668499660404608,0.03816391167707542,0.4674755749365503,1.2051393463473739,1.2829173142866541,0.0,2.1,2.063832354236956,0.009883531679709701,0.0021374475468143917,0.00031800288707015627,5.529811898058171e-05,0.00031800288707015627,5.529811898058171e-05,0.0
brake_distance_0p3,60.464008629328305,37.48385035965924,3.860780210575103,2.88836746495204,7.965967466906363,0.05245728269653014,0.4528567882723105,33.08356194568308,1.8648096197402297,15.896226291114004,1.0402116048081618,19.33257342185379,1.3778827093234642,45.28983023230643,2.875567420768169,6.8298533433749045,0.8390391887790346,13.530518288226022,1.2289953678246233,22.710317348755765,1.7511687591174818,0.11920800341719384,0.07412613138212097,0.2972765026409647,0.07381398436221558,0.10181196707430325,0.09922464524884587,0.06381418297720372,0.8946716124949962,0.2377414343352823,0.0,0.05196384398283618,0.6161233281427629,0.09521297077787531,0.008741258741258742,0.006832797427652733,0.5004376188673906,0.034559533401810075,0.053904428904428904,0.008449883449883441,0.09458735262593783,0.08304195804195803,0.09132709191120404,0.078578742130144,0.049609713711613775,297.2486408149659,94.53218403602172,3.4953253343701363,2.8708305070176725,3.1774043988500957e-08,1.97416674833221e-09,15.362694517629707,0.050448771242322506,0.36266488474376196,1.3411066805322964,0.050181354932742894,0.050181354932742894,0.9301472058117118,0.00292056074766355,1.220933512134555,0.005894962486602358,51.98619716490273,2.347078174352646,0.012181085167291857,0.012181085167291857,1.0328245716664242,0.0,1.5821480677307893,0.0,2.0781257911058524,0.0,0.1205439282912535,0.07588478937936599,0.19072447414212548,0.08528991780261318,0.08323737008502634,0.05112707146351719,0.07117796333430067,0.15538156021188976,0.038221873932173904,297.24889196161564,94.53218403602172,3.4953247120976463,2.870830299593509,15.36269451051164,0.050448771242322506,0.3626648186424651,1.341105977694194,0.048398865882649626,0.9301468680520583,0.002336448598130833,1.2209333047103916,0.00562700964630225,51.98619716490273,2.347077137231826,0.011175949353335,1.0328245716664242,0.0,1.5821480677307893,0.0,2.0781257911058524,0.0,0.0675382734804177,0.1205439282912535,0.07588478937401316,0.19072447421060124,0.08528991773225686,0.08323737008502634,0.05112707202811928,1.0,0.07117796333430067,2.2376666666666667,0.08324237590999936,0.24142597265581153,0.09421348522051604,0.06059872038847791,0.013649405776114322,1.0,0.8727751924117021,0.2651700356602901,0.3873676657606537,0.15538156357518115,0.038221873970244326,0.4674755749365503,1.2007975432190496,1.2529051207820885,0.0,2.1,2.033185267305998,0.009895144651333433,0.002129865717604738,0.0003358178461591289,5.865598082639004e-05,0.0003358178461591289,5.865598082639004e-05,0.0
brake_distance_0p5,65.2441793187595,40.38866224002073,4.017827720386541,2.958602314015995,8.929503413484904,0.0493964595577339,0.4598159086887728,36.203538164964556,1.9054464322682323,16.213866600413674,1.0122792500022506,20.96119481445992,1.4794918944887232,50.428886267655656,3.0128232654936866,7.283215204810161,0.891590091035629,14.378307318075358,1.2636338246875731,22.272142153021687,1.717459075785472,0.14655189247652742,0.07495951960236062,0.3012007443318235,0.08089872812412584,0.10425550525325238,0.10139901323871198,0.06412500805186977,0.9941050375133976,0.32518609556768613,0.0,0.050924020071429356,0.8218095574527945,0.16272439466615718,0.016608391608391608,0.006698821007502675,0.6629205303660645,0.06170393682812331,0.09083976045390835,0.0,0.16852109618234948,0.08826703842781013,0.12748857480907438,0.08490185826634424,0.05454991234023137,303.24851498638355,101.62337268411648,3.5349235986359417,2.882644150716563,3.414551411062838e-08,2.222408305436162e-09,13.273905062266172,0.04772804665202207,0.37358535974766244,1.357502614458402,0.04969783449600759,0.04969783449600759,0.9126101300959514,0.0035046728971962586,1.298272867037061,0.0057609860664523,67.17554914454581,2.4343195060888925,0.020846024032763002,0.020846024032763002,1.1175917673729903,0.0,1.6182027272103976,0.0,1.9512537443328408,0.0,0.14529684055805428,0.07658881435035421,0.19630287136189942,0.08845107398348796,0.08635783295667043,0.05229723449682821,0.07980951749241914,0.1573916844671173,0.038374191399303766,303.24851498638355,101.62337268411648,3.534922561515122,2.882643735868236,13.27390505155094,0.04772804665202207,0.3735854137162326,1.3575016011794414,0.047894947651843024,0.9126097923362978,0.00292056074766355,1.2982726596128975,0.005493033226152192,67.17554914454581,2.4343182615439094,0.018608228448051423,1.1175917673729903,0.0,1.6182027272103976,0.0,1.9512537443328408,0.0,0.0749167700737102,0.14529684055805428,0.0765888143414204,0.19630287143712952,0.08845107275669516,0.08635783288929101,0.05229723502867812,1.0,0.07980951749241914,2.2376666666666667,0.08636288321654152,0.25007524316852137,0.10576732100747711,0.06327663195901316,0.018381895361010796,1.0,0.8794969932075348,0.3142963146375403,0.4510796535636912,0.15739168867679462,0.038374191468367486,0.4671872243021789,1.2029578090021533,1.2682169932910863,0.0,2.1,1.9976151106495543,0.010472810516754723,0.002107170420162672,0.0005514631047844714,0.00010703028933163035,0.0005514631047844714,0.00010703028933163035,0.0
control_caps_x0p75,54.34743422470413,34.13079665548014,3.184658468056884,2.6119936863155764,6.85207956164195,0.053977522750503486,0.3816567907704426,26.383890000673247,1.4986119493892351,16.52961663815685,1.030521560988768,19.784314905951906,1.2347735681471566,35.99675262408326,2.334205673722336,6.963501524118324,0.7594223070579224,12.558121360914134,1.1329724036368063,23.890272855979067,1.6401555146636433,0.10837911998599108,0.07405532037052676,0.30077006081010665,0.024454273526455503,0.10447192765459594,0.10217290247242831,0.06581826637203658,0.6500227099990951,0.3649902780309522,0.0,0.12926696941193272,0.5108913279634548,0.10601715769353913,0.0052447552447552415,0.016077170418006426,0.038719185423365485,0.07121483805474477,0.04603729603729603,0.0011655011655011583,0.08989817792068595,0.08304195804195803,0.08539746857503867,0.1157643835914864,0.0,340.4239719202451,81.59116482905421,2.871297920743624,2.579670206954082,0.0,0.0,15.548251443729848,0.052187946111762584,0.3118427008762966,1.0666024560729663,0.12737154740525536,0.12737154740525536,0.8468188925689901,0.046648836533742015,1.0325774740825484,0.016077170418006426,47.311584154764525,1.8868048985799157,0.05171581924691895,0.05171581924691895,0.9396235782332951,0.0,1.4360173954628408,0.0,1.8873071167557025,0.03941176470588235,0.10665299730304732,0.07594630330949527,0.19596125004080597,0.08866186397920471,0.08673195902051543,0.05362142851224685,0.25356555975369993,0.1388079640988402,0.03780405579872174,340.4239719202451,81.59116482905421,2.871297920743624,2.579670206954082,15.548251443729848,0.052187946111762584,0.3118427008762966,1.0666024560729663,0.0,0.8468188925689901,0.0,1.0325774740825484,0.0,47.311584154764525,1.8868048985799157,0.0,0.9396235782332951,0.0,1.4360173954628408,0.0,1.8873071167557025,0.0,0.0,0.10665299730304732,0.07594630330949527,0.19596125004080597,0.08866186397920471,0.08673195902051543,0.05362142851224685,1.0,0.0,2.2376666666666667,0.08673798033535557,0.2562457739931888,0.10392887178819894,0.06228559072075066,0.018248559314568792,1.0,0.8808224137215662,0.28431369268777396,0.4034078214093826,0.1388079640988402,0.03780405579872174,0.4818002183620293,1.2080877593598653,1.2812817784530732,0.0,2.1,2.7202282207708657,0.010214025775591475,0.0022641497086809473,0.0002941278119881816,4.922485950262719e-05,0.0002941278119881816,4.922485950262719e-05,0.0
control_caps_x1,58.079402119428835,35.686991748915325,3.7686626928906133,2.8689563032998358,7.679082960087982,0.05417101419990347,0.4490793941514661,30.581772591439897,1.8036066997919942,15.928884478481562,1.0383079877904207,18.006045953203028,1.292672058237364,41.62563815802196,2.7545683013702984,6.94008031258156,0.7770292192318933,13.293550584960082,1.2125551163014314,22.457186999960346,1.7591841526843846,0.10489365567917042,0.07298680911294965,0.29519526333437845,0.0675709336064383,0.1007849587310491,0.09901632287908817,0.0637474823857168,0.6624711426835085,0.20767720558397176,0.0,0.052540545251578974,0.5259692044078226,0.06721516732546318,0.0052447552447552415,0.006698821007502675,0.03818327974276527,0.02651490651383794,0.04516317016317017,0.010198135198135191,0.08936227224008575,0.08275058275058275,0.08558808792453652,0.07517482517482517,0.04882484819822905,295.8372615466942,89.37150436395315,3.422396257519722,2.7958218147978187,2.9795169775859165e-08,2.0472822264534695e-09,15.353864192836758,0.052171336523266165,0.3598381022610231,1.3149728377660115,0.051046406835857074,0.051046406835857074,0.9307561113018892,0.00292056074766355,1.1295004915155005,0.0057609860664523,46.75403159732583,2.2288660208384194,0.010040702185787382,0.010040702185787382,0.9699624127582259,0.0,1.5520881958461057,0.0,2.061237876328429,0.0,0.10517302237997676,0.07521266175229978,0.18759653217362715,0.08278584758695244,0.08077107445428637,0.0504937713134484,0.06976865583576032,0.1566849932407547,0.03816391166301665,295.8372615466942,89.37150436395315,3.422395635247232,2.7958216073736555,15.353860346203753,0.052171336523266165,0.35983809685160395,1.314972134927909,0.04955226842013521,0.9307557735422356,0.002336448598130833,1.129500284091337,0.005493033226152192,46.75403159732583,2.228865191141763,0.009424974471519,0.9699624127582259,0.0,1.5520881958461057,0.0,2.061237876328429,0.0,0.06680672471593724,0.10517302237997676,0.07521266175221293,0.18759653244617636,0.08278584758695244,0.08077107541792024,0.05049377182861811,1.0,0.06976865583576032,2.2376666666666667,0.08077301528537342,0.23570746078745916,0.09426498635884373,0.05878420453991214,0.010251645839400497,1.0,0.8710241446942811,0.23944550234317097,0.3471796823237923,0.15668499660404608,0.03816391167707542,0.4674755749365503,1.2053323276037737,1.2791466952573198,0.0,2.1,2.063832354236956,0.009883531679709701,0.0021374475468143917,0.00031800288707015627,5.529811898058171e-05,0.00031800288707015627,5.529811898058171e-05,0.0
control_caps_x1p25,58.98615199168603,37.077098626035244,3.8172100141039103,2.8953934177653244,8.201857640019439,0.05477506093038929,0.47272246640049476,32.72897807740932,1.8990146981118474,15.492416837345326,0.9997678747326292,18.198392843480846,1.2642649159750363,41.349024021776124,2.806616146957461,6.841209693149994,0.7870016932688816,14.33030096177084,1.2716112078685675,22.53672324575271,1.7448173468551484,0.100939730607311,0.07279574698463087,0.29559458733917277,0.06737069641292463,0.10153264303009153,0.09966656026298049,0.06408725128109267,0.6611921061117021,0.20470255613559366,0.0,0.034954401658526084,0.5261639084576668,0.0837451659284162,0.0052447552447552415,0.000937834941050375,0.03764737406216506,0.022860248935323516,0.04487179487179487,0.010198135198135191,0.08842443729903537,0.08275058275058275,0.08558808792453652,0.07517482517482517,0.056007417880825694,331.70153265397556,102.02635566808264,3.7377594659725824,2.9244531489287815,0.041064698692858,0.0043026004761936515,15.423248715553633,0.05290179311870796,0.39548858109788815,1.511437352746725,0.03453207460400464,0.03453207460400464,0.9238989661450129,0.0,1.161976945392477,0.0,54.36965885261657,2.505982294678688,0.006474296901493375,0.006474296901493375,0.9788601916322174,0.0,1.6910687651640426,0.0,2.076876968904647,0.0,0.10237489673678579,0.07509534500247415,0.1867502940963187,0.07982058409188351,0.07781843816921406,0.04904386936533104,0.04100637150549802,0.15880070786948572,0.03829734438128845,344.96634345430556,101.12107521986964,3.464914028644563,2.8938903244150187,15.543092921469507,0.05290179311870796,0.3801116873392045,1.4133629500865943,0.05366196033927093,0.9177959819947623,0.004283489096573208,1.0995023778996744,0.005894962486602358,40.36628330747285,2.2476205786069228,0.02685403582700034,0.9788601916322174,0.0,1.6910687651640426,0.0,2.076876968904647,0.0,0.07454681222464869,0.10237489673678579,0.07509006541982675,0.1968210072938751,0.08332475300735097,0.0813333932329783,0.05098592401176786,1.0,0.0756793512155433,2.2376666666666667,0.07782027132642623,0.23397897901692136,0.08924167908157826,0.0577852154940623,0.008757839473984017,1.0,0.8707961807109434,0.22096144497510337,0.3154213597893893,0.17702221275582672,0.040171675819410384,0.46637412459251265,1.2093240388879216,1.2848922958558735,0.0,2.1,2.3110684663377707,0.011188633739948217,0.0023843983599038756,0.00028536158303419057,4.71363741708788e-05,0.00028536158303419057,4.71363741708788e-05,0.0
control_caps_x1p5,59.084831443816256,37.63745615835379,3.8216895641794237,2.903386707378294,8.340965605257882,0.055200180598795466,0.47651258512238925,33.33378361875804,1.9112670179750673,14.91038680201975,1.0019271653285433,17.078880982992697,1.24704248125951,41.36413543269183,2.8095028192659424,6.805580131592322,0.7917434873545671,15.310118646011555,1.2969137712202345,22.877895165098945,1.7359357971735816,0.09867034507020123,0.07265381165507476,0.2983348665629467,0.06968534493382435,0.10216495342309345,0.10046853182064629,0.0645192045832962,0.6609974020618579,0.20070924127837175,0.0,0.024798154555940023,0.5261639084576668,0.09110723127780396,0.005536130536130533,0.0,0.03764737406216506,0.020796063928185733,0.044580419580419584,0.009615384615384607,0.08842443729903537,0.08275058275058275,0.0853933838746923,0.07488344988344989,0.048162387659838456,327.71827498360534,115.73061012313703,4.00016891459624,3.0200533429160714,0.059406619920432356,0.007092272316798991,17.065627443839276,0.0532609427650804,0.4282028561905524,1.6604169892768066,0.024509803921568624,0.024509803921568624,0.935231203281243,0.0,1.1483183067563612,0.0,63.75823169946653,2.762959028283755,0.003861728427094025,0.003861728427094025,0.9957511026451963,0.0,1.8184874206781387,0.0,2.0919099255820583,0.0,0.10085165159107111,0.0749969546565188,0.18633284136907058,0.07735717344862278,0.07550699642947403,0.04797026912812874,0.02837153234866265,0.15884583777628342,0.03842074911748134,370.5115786620244,113.59264832455666,3.464833934903146,2.932036325236163,15.938907981119343,0.0532609427650804,0.38360402962244367,1.4287144790093114,0.06085067095273163,0.9279994561705585,0.004672897196261675,1.0840916110598486,0.005894962486602358,40.207761339843245,2.242002427379292,0.038385036544852286,0.9957511026451963,0.0,1.8184874206781387,0.0,2.0919099255820583,0.0,0.07493319566733327,0.10085165159107111,0.07499196954887782,0.20027126737482892,0.08463112121716555,0.08245228987255968,0.05134577787535654,1.0,0.07629638231990898,2.2376666666666667,0.07550877518241342,0.23289489074899986,0.0844277076542666,0.05708552199028044,0.007838209240126699,1.0,0.8706695492526443,0.21153146785178442,0.2999053610418158,0.19887717979154085,0.0428285379247744,0.46637412459251265,1.2018423668756466,1.273607026572184,0.0,2.1,2.2699776770667355,0.011257984985907826,0.0023851189540709853,0.00028145095954337687,4.712463430912617e-05,0.00028145095954337687,4.712463430912617e-05,0.0
current_deployment,58.079402119428835,35.686991748915325,3.7686626928906133,2.8689563032998358,7.679082960087982,0.05417101419990347,0.4490793941514661,30.5817725914399,1.8036066997919942,15.928884478481562,1.0383079877904207,18.006045953203028,1.292672058237364,41.62563815802196,2.7545683013702984,6.94008031258156,0.7770292192318933,13.293550584960082,1.2125551163014314,22.457186999960346,1.7591841526843846,0.10489365567917042,0.07298680911294965,0.29519526333437845,0.0675709336064383,0.1007849587310491,0.09901632287908817,0.0637474823857168,0.6624711426835085,0.20767720558397176,0.0,0.052540545251578974,0.5259692044078226,0.06721516732546318,0.0052447552447552415,0.006698821007502675,0.03818327974276527,0.02651490651383794,0.04516317016317017,0.010198135198135191,0.08936227224008575,0.08275058275058275,0.08558808792453652,0.07517482517482517,0.048824848198229055,295.8372615466942,89.37150436395315,3.422396257519722,2.7958218147978187,2.9795169775859165e-08,2.0472822264534695e-09,15.353864192836758,0.052171336523266165,0.3598381022610231,1.3149728377660115,0.051046406835857074,0.051046406835857074,0.9307561113018892,0.00292056074766355,1.1295004915155005,0.0057609860664523,46.75403159732583,2.2288660208384194,0.010040702185787382,0.010040702185787382,0.9699624127582259,0.0,1.5520881958461057,0.0,2.061237876328429,0.0,0.10517302237997676,0.07521266175229978,0.18759653217362715,0.08278584758695244,0.08077107445428637,0.0504937713134484,0.06976865583576032,0.1566849932407547,0.03816391166301665,295.8372615466942,89.37150436395315,3.422395635247232,2.7958216073736555,15.353860346203753,0.052171336523266165,0.35983809685160395,1.314972134927909,0.04955226842013521,0.9307557735422356,0.002336448598130833,1.129500284091337,0.005493033226152192,46.75403159732583,2.228865191141763,0.009424974471519,0.9699624127582259,0.0,1.5520881958461057,0.0,2.061237876328429,0.0,0.06680672471593724,0.10517302237997676,0.07521266175221293,0.18759653244617636,0.08278584758695244,0.08077107541792024,0.05049377182861811,1.0,0.06976865583576032,2.2376666666666667,0.08077301528537342,0.23570746078745916,0.09426498635884373,0.05878420453991214,0.010251645839400497,1.0,0.8710241446942811,0.23944550234317097,0.34717968232379226,0.15668499660404608,0.03816391167707542,0.4674755749365503,1.1812930985289207,1.236184993952823,0.0,2.1,2.063832354236956,0.009883531679709701,0.0021374475468143913,0.00031800288707015627,5.529811898058171e-05,0.00031800288707015627,5.529811898058171e-05,0.0
